Timestamp,IPC_Type,Pattern,Producer_Count,Consumer_Count,Message_Count,Message_Size,Total_Time_Seconds,Throughput_Msg_Per_Sec,Avg_Latency_Microseconds,P95_Latency_Microseconds,P99_Latency_Microseconds,Error_Count,Retransmit_Count,Accuracy,Success
2026-07-03 16:45:09,socket,4_2,4,2,2000,1024,0.213678,9359.87,120.70,233.20,318.30,16,16,99.20,true
2026-07-03 16:45:09,tcp,4_2,4,2,2000,1024,0.209300,9555.67,113.15,220.80,299.40,23,23,98.85,true
2026-07-03 16:45:10,shared_memory,4_4,4,4,2000,1024,0.030597,65365.03,4.25,5.80,15.70,32,0,98.40,true
2026-07-03 16:45:10,socket,4_4,4,4,2000,1024,0.218812,9140.26,131.31,253.60,337.00,17,17,99.15,true
2026-07-03 16:45:11,tcp,4_4,4,4,2000,1024,0.209917,9527.58,114.37,221.50,308.70,26,26,98.70,true

=== Test Statistics ===
Total Tests,54
Successful Tests,54
Failed Tests,0
Success Rate,100.00%
